OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
apc,1.3.6.1.4.1.318,,,objectidentity,,""
products,1.3.6.1.4.1.318.1,,,objectidentity,,""
hardware,1.3.6.1.4.1.318.1.1,,,objectidentity,,""
ups,1.3.6.1.4.1.318.1.1.1,,,objectidentity,,""
upsIdent,1.3.6.1.4.1.318.1.1.1.1,,,objectidentity,,""
upsBasicIdent,1.3.6.1.4.1.318.1.1.1.1.1,,,objectidentity,,""
upsBasicIdentModel,1.3.6.1.4.1.318.1.1.1.1.1.1,displaystring,read-only,objecttype,scalar,"The UPS model name (e.g. 'APC Smart-UPS 600')."
upsBasicIdentName,1.3.6.1.4.1.318.1.1.1.1.1.2,displaystring,read-write,objecttype,scalar,"An 8 byte ID string identifying the UPS. This object can be set by the administrator."
upsAdvIdent,1.3.6.1.4.1.318.1.1.1.1.2,,,objectidentity,,""
upsAdvIdentFirmwareRevision,1.3.6.1.4.1.318.1.1.1.1.2.1,displaystring,read-only,objecttype,scalar,"The firmware revision of the UPS system's microprocessor."
upsAdvIdentDateOfManufacture,1.3.6.1.4.1.318.1.1.1.1.2.2,displaystring,read-only,objecttype,scalar,"The date when the UPS was manufactured in mm/dd/yy (or yyyy) format."
upsAdvIdentSerialNumber,1.3.6.1.4.1.318.1.1.1.1.2.3,displaystring,read-only,objecttype,scalar,"An 8-character string identifying the serial number of the UPS internal microprocessor. This number is set at the factory. NOTE: This number does NOT correspond to the serial number on the rear of the UPS."
upsAdvIdentFirmwareRevision2,1.3.6.1.4.1.318.1.1.1.1.2.4,displaystring,read-only,objecttype,scalar,"The firmware revision of a UPS system co-microprocessor."
upsAdvIdentSkuNumber,1.3.6.1.4.1.318.1.1.1.1.2.5,displaystring,read-only,objecttype,scalar,"The SKU number of a UPS system."
upsBattery,1.3.6.1.4.1.318.1.1.1.2,,,objectidentity,,""
upsBasicBattery,1.3.6.1.4.1.318.1.1.1.2.1,,,objectidentity,,""
upsBasicBatteryStatus,1.3.6.1.4.1.318.1.1.1.2.1.1,integer,read-only,objecttype,scalar,"The status of the UPS batteries. A batteryLow(3) value indicates the UPS will be unable to sustain the current load, and its services will be lost if power is not restored. The amount of run time in reserve at the time of low battery can be configured by the upsAdvConfigLowBatteryRunTime."
upsBasicBatteryTimeOnBattery,1.3.6.1.4.1.318.1.1.1.2.1.2,timeticks,read-only,objecttype,scalar,"The elapsed time since the UPS has switched to battery power."
upsBasicBatteryLastReplaceDate,1.3.6.1.4.1.318.1.1.1.2.1.3,displaystring,read-write,objecttype,scalar,"The date when the UPS system's batteries were last replaced in mm/dd/yy (or yyyy) format. For Smart-UPS models, this value is originally set in the factory. When the UPS batteries are replaced, this value should be reset by the administrator."
upsAdvBattery,1.3.6.1.4.1.318.1.1.1.2.2,,,objectidentity,,""
upsAdvBatteryCapacity,1.3.6.1.4.1.318.1.1.1.2.2.1,gauge,read-only,objecttype,scalar,"The remaining battery capacity expressed in percent of full capacity."
upsAdvBatteryTemperature,1.3.6.1.4.1.318.1.1.1.2.2.2,gauge,read-only,objecttype,scalar,"The current internal UPS temperature expressed in Celsius."
upsAdvBatteryRunTimeRemaining,1.3.6.1.4.1.318.1.1.1.2.2.3,timeticks,read-only,objecttype,scalar,"The UPS battery run time remaining before battery exhaustion."
upsAdvBatteryReplaceIndicator,1.3.6.1.4.1.318.1.1.1.2.2.4,integer,read-only,objecttype,scalar,"Indicates whether the UPS batteries need replacing."
upsAdvBatteryNumOfBattPacks,1.3.6.1.4.1.318.1.1.1.2.2.5,integer,read-only,objecttype,scalar,"The number of external battery packs connected to the UPS. If the UPS does not use smart cells then the agent reports ERROR_NO_SUCH_NAME."
upsAdvBatteryNumOfBadBattPacks,1.3.6.1.4.1.318.1.1.1.2.2.6,integer,read-only,objecttype,scalar,"The number of external battery packs connected to the UPS that are defective. If the UPS does not use smart cells then the agent reports ERROR_NO_SUCH_NAME."
upsAdvBatteryNominalVoltage,1.3.6.1.4.1.318.1.1.1.2.2.7,integer,read-only,objecttype,scalar,"The nominal battery voltage in Volts."
upsAdvBatteryActualVoltage,1.3.6.1.4.1.318.1.1.1.2.2.8,integer,read-only,objecttype,scalar,"The actual battery bus voltage in Volts."
upsAdvBatteryCurrent,1.3.6.1.4.1.318.1.1.1.2.2.9,integer,read-only,objecttype,scalar,"The battery current in Amps."
upsAdvTotalDCCurrent,1.3.6.1.4.1.318.1.1.1.2.2.10,integer,read-only,objecttype,scalar,"The total DC current in Amps."
upsAdvBatteryFullCapacity,1.3.6.1.4.1.318.1.1.1.2.2.11,integer,read-only,objecttype,scalar,"The full chargeable capacity of the battery which is expressed in percentage."
upsAdvBatteryActualVoltageTable,1.3.6.1.4.1.318.1.1.1.2.2.12,,no-access,objecttype,table,"A list of battery table entries. The number of battery frames present in UPS."
upsAdvBatteryActualVoltageEntry,1.3.6.1.4.1.318.1.1.1.2.2.12.1,,no-access,objecttype,row,"Information applicable to each of the Battery frames."
